Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
30;12906;"Proceedings of the IEEE Symposium on Reliable Distributed Systems";conference and proceedings;"10609857";"IEEE Computer Society";No;No;0,550;-;52;36;91;1408;184;82;1,74;39,11;20,00;0;4;United States;Northern America;"IEEE Computer Society";"1992, 1994-2024";"Computer Networks and Communications; Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
31;51882;"IEEE/ACM International Conference on Computer-Aided Design, Digest of Technical Papers";conference and proceedings;"10923152";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,518;-;102;0;523;0;1408;517;2,34;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995-2013, 2015-2023";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Software";"Computer Science"
32;21101176787;"Proceedings - AAAI Artificial Intelligence and Interactive Digital Entertainment Conference, AIIDE";conference and proceedings;"23340924, 2326909X";"Association for the Advancement of Artificial Intelligence";No;No;0,510;-;17;32;91;991;204;87;2,24;30,97;29,63;0;0;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2016-2017, 2022-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Science Applications; Human-Computer Interaction; Software";"Computer Science"
33;19277;"Proceedings of the IEEE International Conference on Requirements Engineering";conference and proceedings;"23326441, 1090705X";"IEEE Computer Society";No;No;0,491;-;63;60;298;2126;645;279;2,01;35,43;36,51;0;9;United States;Northern America;"IEEE Computer Society";"1993, 1995-2006, 2009, 2019-2024";"Computer Science (miscellaneous); Engineering (miscellaneous); Hardware and Architecture; Industrial and Manufacturing Engineering; Software; Strategy and Management";"Business, Management and Accounting; Computer Science; Engineering"
34;26125;"Parallel Architectures and Compilation Techniques - Conference Proceedings, PACT";conference and proceedings;"1089795X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,477;-;76;31;113;1802;220;108;1,35;58,13;13,91;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996-2014, 2016-2024";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
35;21101235561;"Proceedings of the Annual International Conference on Mobile Computing and Networking, MOBICOM";conference and proceedings;"15435679";"Association for Computing Machinery";No;No;0,460;-;149;0;152;0;435;151;2,86;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1995-1997, 2000-2015, 2023";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
36;21100199538;"International Symposium on Empirical Software Engineering and Measurement";conference and proceedings;"19493770, 19493789";"IEEE Computer Society";No;No;0,445;-;48;68;112;2931;278;106;2,10;43,10;30,21;0;3;United States;Northern America;"IEEE Computer Society";"2011-2024";"Computer Science Applications; Software";"Computer Science"
37;74910;"Proceedings - Symposium on Computer Arithmetic";conference and proceedings;"25762265, 10636889";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,443;-;36;23;66;408;106;60;0,73;17,74;16,90;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1975, 1983, 1985, 1987, 1989, 1991, 1993, 1995, 1997, 1999, 2001, 2003, 2005, 2007, 2009, 2011, 2013, 2015, 2018-2024";"Hardware and Architecture; Software; Theoretical Computer Science";"Computer Science; Mathematics"
38;21101039623;"Proceedings of the International Conference on Knowledge Representation and Reasoning";conference and proceedings;"23341025, 23341033";"Association for the Advancement of Artificial Intelligence";No;No;0,422;-;45;93;82;3339;153;80;1,87;35,90;14,01;0;1;United States;Northern America;"Association for the Advancement of Artificial Intelligence";"2006, 2008, 2010, 2012, 2014, 2016, 2023-2024";"Logic; Software";"Computer Science; Mathematics"
39;21100310020;"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS";conference and proceedings;"15488403, 15582914";"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";No;No;0,386;-;66;458;1140;13897;1662;1130;1,36;30,34;22,28;0;34;United States;Northern America;"International Foundation for Autonomous Agents and Multiagent Systems (IFAAMAS)";"2008-2010, 2015-2024";"Artificial Intelligence; Control and Systems Engineering; Software";"Computer Science; Engineering"
40;21100291859;"IEEE International Conference on Cloud Computing, CLOUD";conference and proceedings;"21596182, 21596190";"IEEE Computer Society";No;No;0,378;-;41;59;239;2090;430;221;1,67;35,42;24,87;0;3;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Information Systems; Software";"Computer Science"
41;145205;"Proceedings - International Conference on Computer Communications and Networks, ICCCN";conference and proceedings;"10952055";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,378;-;54;119;311;2772;475;297;1,16;23,29;22,43;0;19;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013-2015, 2018-2024";"Computer Networks and Communications; Computer Science (miscellaneous); Hardware and Architecture; Software";"Computer Science"
42;145419;"Proceedings - IEEE International Conference on Cluster Computing, ICCC";conference and proceedings;"15525244";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,374;-;52;42;244;1700;369;221;1,34;40,48;19,10;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000-2011, 2013, 2015-2024";"Engineering (miscellaneous); Hardware and Architecture; Signal Processing; Software";"Computer Science; Engineering"
43;144684;"Proceedings - International Conference on Image Processing, ICIP";conference and proceedings;"15224880";"IEEE Computer Society";No;No;0,368;-;125;596;2364;15419;4327;2355;1,72;25,87;25,70;0;34;United States;Northern America;"IEEE Computer Society";"1994, 1997, 1999, 2004-2012, 2015-2024";"Computer Networks and Communications; Computer Vision and Pattern Recognition; Engineering (miscellaneous); Information Systems; Signal Processing; Software";"Computer Science; Engineering"
44;21100858680;"Advances in Database Technology - EDBT";conference and proceedings;"23672005";"OpenProceedings.org";No;No;0,365;-;29;56;260;2107;258;247;0,88;37,63;22,08;0;2;Germany;Western Europe;"OpenProceedings.org";"2016-2024";"Computer Science Applications; Information Systems; Software";"Computer Science"
45;145297;"Proceedings - International Symposium on Wearable Computers, ISWC";conference and proceedings;"15504816";"Association for Computing Machinery";No;No;0,363;-;61;0;31;0;78;30;2,60;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"2002-2012, 2014, 2017-2022";"Computer Networks and Communications; Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
46;21101264424;"Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC";conference and proceedings;"21503761";"Association for Computing Machinery";No;No;0,351;-;7;86;67;3602;158;64;2,27;41,88;22,80;0;15;United States;Northern America;"Association for Computing Machinery";"2021, 2023-2024";"Computer Networks and Communications; Software";"Computer Science"
47;96537;"Proceedings of the International Joint Conference on Neural Networks";conference and proceedings;"-";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,349;-;105;1650;3247;55920;5247;3238;1,41;33,89;29,18;0;168;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992-1993, 1999-2003, 2005, 2008-2024";"Artificial Intelligence; Software";"Computer Science"
48;21100877174;"High-Performance Graphics - ACM SIGGRAPH / Eurographics Symposium Proceedings, HPG";conference and proceedings;"20798687, 20798679";"Association for Computing Machinery";No;No;0,339;-;19;0;7;0;12;6;0,00;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"2010, 2016, 2018-2019, 2021";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";"Computer Science"
49;21100283373;"IEEE Conference on Computatonal Intelligence and Games, CIG";conference and proceedings;"23254289, 23254270";"IEEE Computer Society";No;No;0,333;-;33;146;395;3542;540;390;1,21;24,26;20,80;0;10;United States;Northern America;"IEEE Computer Society";"2013-2014, 2016-2024";"Artificial Intelligence; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
50;21100244944;"Electronic Proceedings in Theoretical Computer Science, EPTCS";conference and proceedings;"20752180";"Open Publishing Association";Yes;Yes;0,326;-;27;228;985;4064;467;846;0,44;17,82;21,12;0;6;United States;Northern America;"Open Publishing Association";"2009-2024";"Software";"Computer Science"
51;145121;"Proceedings - IEEE Computer Society's Annual International Symposium on Modeling, Analysis, and Simulation of Computer and Telecommunications Systems, MASCOTS";conference and proceedings;"15267539";"IEEE Computer Society";No;No;0,320;-;41;36;79;789;83;73;0,88;21,92;25,47;0;5;United States;Northern America;"IEEE Computer Society";"1995, 2000, 2002-2006, 2009, 2013, 2015, 2019-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Engineering (miscellaneous); Modeling and Simulation; Software";"Computer Science; Engineering; Mathematics"
52;21101062800;"Proceedings of the Design Society";conference and proceedings;"2732527X";"Cambridge University Press";No;No;0,301;-;14;306;1002;9157;1221;998;1,20;29,92;30,13;0;101;United Kingdom;Western Europe;"Cambridge University Press";"2021-2024";"Computer Graphics and Computer-Aided Design; Computer Science Applications; Modeling and Simulation; Software";"Computer Science; Mathematics"
53;21100395950;"Proceedings of the European Test Workshop";conference and proceedings;"15301877, 15581780";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,293;-;19;57;156;1195;156;150;0,97;20,96;20,18;0;3;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993, 2000-2003, 2016-2024";"Electrical and Electronic Engineering; Industrial and Manufacturing Engineering; Software";"Computer Science; Engineering"
54;21101131203;"IEEE International Conference on Software Quality, Reliability and Security, QRS";conference and proceedings;"26939177";"Institute of Electrical and Electronics Engineers";No;No;0,289;-;9;73;290;2461;326;287;0,97;33,71;34,96;0;4;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2021-2024";"Safety, Risk, Reliability and Quality; Software";"Computer Science; Engineering"
55;94992;"IEEE International Conference on Multisensor Fusion and Integration for Intelligent Systems";conference and proceedings;"2835947X, 27679357";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,284;-;34;33;124;856;128;121;0,95;25,94;12,90;0;5;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996, 1999, 2001, 2003, 2006, 2008, 2010, 2012, 2015-2017, 2020-2024";"Computer Science Applications; Control and Systems Engineering; Software";"Computer Science; Engineering"
56;21000195607;"International Conference on Wireless and Mobile Computing, Networking and Communications";conference and proceedings;"21619646, 21619654";"IEEE Computer Society";No;No;0,284;-;34;122;237;2338;289;232;1,21;19,16;25,68;0;42;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
57;18707;"Proceedings - International Symposium on Computers and Communications";conference and proceedings;"15301346";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,267;-;56;176;612;3720;649;604;0,99;21,14;24,88;0;35;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995, 1997, 1999-2024";"Computer Networks and Communications; Computer Science Applications; Mathematics (miscellaneous); Signal Processing; Software";"Computer Science; Mathematics"
58;21100269632;"IEEE Pacific Visualization Symposium";conference and proceedings;"21658765, 21658773";"IEEE Computer Society";No;No;0,262;-;31;45;85;1680;139;79;1,31;37,33;31,84;0;3;United States;Northern America;"IEEE Computer Society";"2013-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Hardware and Architecture; Software";"Computer Science"
59;21100239837;"International Conference on Human System Interaction, HSI";conference and proceedings;"21582246, 21582254";"IEEE Computer Society";No;No;0,259;-;14;80;113;2031;138;110;1,25;25,39;31,91;0;23;United States;Northern America;"IEEE Computer Society";"2012, 2019-2022, 2024";"Human-Computer Interaction; Software";"Computer Science"
60;145228;"Proceedings - Winter Simulation Conference";conference and proceedings;"08917736";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,259;-;65;303;863;7862;744;860;0,81;25,95;24,02;0;77;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1971, 1973-1974, 1976-1980, 1992-1993, 2004-2013, 2015-2024";"Computer Science Applications; Modeling and Simulation; Software";"Computer Science; Mathematics"
61;110565;"IEEE International Conference on Fuzzy Systems";conference and proceedings;"10987584";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,254;-;69;121;472;3053;431;466;0,85;25,23;24,93;0;21;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1994-2009, 2011-2015, 2017-2024";"Applied Mathematics; Artificial Intelligence; Software; Theoretical Computer Science";"Computer Science; Mathematics"
62;21100223148;"Proceedings of IEEE Symposium on Visual Languages and Human-Centric Computing, VL/HCC";conference and proceedings;"19436106, 19436092";"IEEE Computer Society";No;No;0,251;-;29;61;154;2203;217;148;1,19;36,11;30,52;0;8;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computational Theory and Mathematics; Human-Computer Interaction; Software";"Computer Science"
63;21100888800;"Conference proceedings International Research Council on the Biomechanics of Injury, IRCOBI";conference and proceedings;"22353151";"International Research Council on the Biomechanics of Injury";No;No;0,239;-;20;137;342;2370;180;338;0,58;17,30;26,72;0;32;Switzerland;Western Europe;"International Research Council on the Biomechanics of Injury";"2016-2024";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Hardware and Architecture; Software";"Computer Science"
64;21100398701;"IEEE International Conference on Data Mining Workshops, ICDMW";conference and proceedings;"23759232, 23759259";"IEEE Computer Society";No;No;0,238;-;37;0;498;0;500;486;0,84;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2014-2023";"Computer Science Applications; Software";"Computer Science"
65;21100198514;"Proceedings of IEEE Pacific Rim International Symposium on Dependable Computing, PRDC";conference and proceedings;"15410110";"IEEE Computer Society";No;No;0,238;-;24;35;108;818;97;98;0,78;23,37;24,42;0;2;United States;Northern America;"IEEE Computer Society";"2000-2002, 2011-2014, 2017-2024";"Computational Theory and Mathematics; Computer Science Applications; Hardware and Architecture; Software";"Computer Science"
66;21101090643;"Proceedings of the International Florida Artificial Intelligence Research Society Conference, FLAIRS";conference and proceedings;"23340754, 23340762";"Florida Online Journals, University of Florida";Yes;Yes;0,237;-;10;131;381;2601;314;375;0,87;19,85;29,73;0;18;United States;Northern America;"Florida Online Journals, University of Florida";"2021-2024";"Artificial Intelligence; Software";"Computer Science"
67;21101107943;"International Conference on Cloud Computing and Services Science, CLOSER - Proceedings";conference and proceedings;"21845042";"Science and Technology Publications, Lda";No;No;0,225;-;8;38;105;889;105;100;0,88;23,39;11,48;0;4;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Computer Science (miscellaneous); Software";"Computer Science"
68;18705;"Proceedings - IEEE Computer Society's International Computer Software and Applications Conference";conference and proceedings;"07303157";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,225;-;59;0;293;0;350;288;1,19;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2019, 2023";"Computer Science Applications; Software";"Computer Science"
69;21100846961;"IS and T International Symposium on Electronic Imaging Science and Technology";conference and proceedings;"24701173";"Society for Imaging Science and Technology";No;No;0,222;-;30;162;648;2945;349;596;0,53;18,18;23,11;0;29;United States;Northern America;"Society for Imaging Science and Technology";"2016-2024";"Atomic and Molecular Physics, and Optics; Computer Graphics and Computer-Aided Design; Computer Science Applications; Electrical and Electronic Engineering; Human-Computer Interaction; Software";"Computer Science; Engineering; Physics and Astronomy"
70;21100307476;"IEEE/IFIP International Conference on VLSI and System-on-Chip, VLSI-SoC";conference and proceedings;"23248432, 23248440";"IEEE Computer Society";No;No;0,221;-;17;58;194;1005;179;185;0,93;17,33;19,15;0;8;United States;Northern America;"IEEE Computer Society";"2013, 2015, 2017-2024";"Electrical and Electronic Engineering; Hardware and Architecture; Software";"Computer Science; Engineering"
71;21100313909;"Iranian Conference on Machine Vision and Image Processing, MVIP";conference and proceedings;"21666776, 21666784";"IEEE Computer Society";No;No;0,214;-;16;43;49;968;63;48;1,29;22,51;29,59;0;4;United States;Northern America;"IEEE Computer Society";"2013, 2016-2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Software";"Computer Science"
72;16719;"Proceedings - Frontiers in Education Conference, FIE";conference and proceedings;"15394565";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,211;-;49;0;1295;0;1048;1291;0,71;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976, 1978-1989, 1991-2013, 2015-2023";"Computer Science Applications; Education; Software";"Computer Science; Social Sciences"
