Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
28;15134;"Information Sciences";journal;"00200255";"Elsevier Inc.";No;No;1,803;Q1;243;1306;3981;57494;33358;3973;8,25;44,02;31,01;0;118;United States;Northern America;"Elsevier Inc.";"1968-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Decision Sciences; Engineering; Mathematics"
29;24363;"Journal of Intelligent Manufacturing";journal;"15728145, 09565515";"Springer Netherlands";No;No;1,763;Q1;113;397;462;23449;5049;458;10,94;59,07;24,90;1;197;Netherlands;Western Europe;"Springer Netherlands";"1990-2025";"Artificial Intelligence (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1)";"Computer Science; Engineering"
30;28512;"Mathematical Programming";journal;"14364646, 00255610";"Springer-Verlag GmbH and Co. KG";No;No;1,732;Q1;149;210;461;8529;1550;452;3,11;40,61;17,96;0;0;Germany;Western Europe;"Springer-Verlag GmbH and Co. KG";"1971-2025";"Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Mathematics"
31;21100872828;"Foundations and Trends in Programming Languages";journal;"23251107, 23251131";"Now Publishers Inc";No;No;1,665;Q1;13;1;5;90;45;5;0,50;90,00;25,00;0;0;United States;Northern America;"Now Publishers Inc";"2014-2024";"Computer Science Applications (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
32;12264;"Future Generation Computer Systems";journal;"0167739X";"Elsevier B.V.";No;No;1,551;Q1;180;481;1191;24998;11017;1161;8,95;51,97;24,20;2;98;Netherlands;Western Europe;"Elsevier B.V.";"1984-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
33;21101079108;"ACM Transactions on Computing for Healthcare";journal;"26378051, 26911957";"Association for Computing Machinery (ACM)";No;No;1,548;Q1;22;25;108;1963;950;105;10,18;78,52;33,02;0;7;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2025";"Biomedical Engineering (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions; Medicine"
34;18644;"Journal of Manufacturing Technology Management";journal;"1741038X";"Emerald Group Publishing Ltd.";No;No;1,532;Q1;100;88;218;6194;2198;215;8,66;70,39;31,32;0;67;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2004-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Industrial and Manufacturing Engineering (Q1); Software (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
35;21101058910;"Internet of Things (The Netherlands)";journal;"25426605";"Elsevier B.V.";No;No;1,527;Q1;69;423;592;26107;6589;586;11,45;61,72;20,30;4;189;Netherlands;Western Europe;"Elsevier B.V.";"2018-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Management of Technology and Innovation (Q1); Software (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
36;18136;"Applied Soft Computing";journal;"15684946";"Elsevier B.V.";No;No;1,511;Q1;208;1284;2987;73243;27020;2977;8,19;57,04;28,29;0;282;Netherlands;Western Europe;"Elsevier B.V.";"2001-2025";"Software (Q1)";"Computer Science"
37;23295;"Environmental Modelling and Software";journal;"18736726, 13648152";"Elsevier Ltd";No;No;1,466;Q1;178;246;684;16208;4046;683;5,20;65,89;25,66;3;127;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2025";"Ecological Modeling (Q1); Environmental Engineering (Q1); Modeling and Simulation (Q1); Software (Q1)";"Computer Science; Environmental Science; Mathematics"
