Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
141;145097;"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics";conference and proceedings;"1062922X";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,228;-;70;812;1896;19995;1794;1891;0,81;24,62;29,64;0;123;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1992, 1995, 1997, 1999-2000, 2002, 2004-2012, 2014, 2019-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Engineering (miscellaneous); Human-Computer Interaction";"Computer Science; Engineering"
142;21100278106;"International Conference on Ubiquitous and Future Networks, ICUFN";conference and proceedings;"21658536, 21658528";"IEEE Computer Society";No;No;0,227;-;34;157;429;1823;417;420;0,99;11,61;18,67;0;29;United States;Northern America;"IEEE Computer Society";"2013-2019, 2021-2024";"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture";"Computer Science"
143;21000195610;"International System on Chip Conference";conference and proceedings;"21641676, 21641706";"IEEE Computer Society";No;No;0,226;-;20;68;182;1219;156;172;0,96;17,93;21,28;0;8;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
144;21101107943;"International Conference on Cloud Computing and Services Science, CLOSER - Proceedings";conference and proceedings;"21845042";"Science and Technology Publications, Lda";No;No;0,225;-;8;38;105;889;105;100;0,88;23,39;11,48;0;4;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Computer Science (miscellaneous); Software";"Computer Science"
145;21100228529;"International Symposium on Wireless Personal Multimedia Communications, WPMC";conference and proceedings;"13476890";"IEEE Computer Society";No;No;0,225;-;28;85;231;1090;184;222;0,88;12,82;25,57;0;15;United States;Northern America;"IEEE Computer Society";"2002, 2004, 2012-2013, 2015-2024";"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction";"Computer Science"
146;18705;"Proceedings - IEEE Computer Society's International Computer Software and Applications Conference";conference and proceedings;"07303157";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,225;-;59;0;293;0;350;288;1,19;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1979-2019, 2023";"Computer Science Applications; Software";"Computer Science"
147;21100229835;"Computational Linguistics in the Netherlands Journal";conference and proceedings;"22114009";"Computational Linguistics in the Netherlands";No;No;0,223;-;13;12;36;475;32;32;0,50;39,58;30,00;0;0;Netherlands;Western Europe;"Computational Linguistics in the Netherlands";"2011-2022, 2024";"Computer Science Applications; Linguistics and Language; Logic";"Computer Science; Mathematics; Social Sciences"
148;21100846961;"IS and T International Symposium on Electronic Imaging Science and Technology";conference and proceedings;"24701173";"Society for Imaging Science and Technology";No;No;0,222;-;30;162;648;2945;349;596;0,53;18,18;23,11;0;29;United States;Northern America;"Society for Imaging Science and Technology";"2016-2024";"Atomic and Molecular Physics, and Optics; Computer Graphics and Computer-Aided Design; Computer Science Applications; Electrical and Electronic Engineering; Human-Computer Interaction; Software";"Computer Science; Engineering; Physics and Astronomy"
149;21100307476;"IEEE/IFIP International Conference on VLSI and System-on-Chip, VLSI-SoC";conference and proceedings;"23248432, 23248440";"IEEE Computer Society";No;No;0,221;-;17;58;194;1005;179;185;0,93;17,33;19,15;0;8;United States;Northern America;"IEEE Computer Society";"2013, 2015, 2017-2024";"Electrical and Electronic Engineering; Hardware and Architecture; Software";"Computer Science; Engineering"
150;21100984136;"Proceedings of IEEE International Conference on Signal Processing,Computing and Control";conference and proceedings;"26438615";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,220;-;17;0;156;0;333;155;0,00;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2019, 2021";"Artificial Intelligence; Computer Science Applications; Control and Optimization; Signal Processing";"Computer Science; Mathematics"
151;21101056435;"Proceedings of the International Conference Computational Linguistics in Bulgaria";conference and proceedings;"23675578, 23675675";"Institute for Bulgarian Language";No;No;0,220;-;2;39;27;791;13;26;0,48;20,28;63,41;0;2;Bulgaria;Eastern Europe;"Institute for Bulgarian Language";"2020, 2022, 2024";"Artificial Intelligence; Linguistics and Language";"Computer Science; Social Sciences"
152;84128;"Proceedings of the IEEE International Conference on Industrial Technology";conference and proceedings;"26432978, 26410184";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,219;-;56;232;444;4722;396;441;0,71;20,35;20,60;0;64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1996, 2000, 2002-2006, 2008-2011, 2013-2024";"Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering"
153;21100226431;"International Conference on ICT Convergence";conference and proceedings;"21621241, 21621233";"IEEE Computer Society";No;No;0,218;-;25;605;1551;7181;1198;1545;0,73;11,87;26,15;0;83;United States;Northern America;"IEEE Computer Society";"2012-2014, 2020-2024";"Computer Networks and Communications; Information Systems";"Computer Science"
154;21100228510;"Proceedings of International Conference on Harmonics and Quality of Power, ICHQP";conference and proceedings;"21640610, 15406008";"IEEE Computer Society";No;No;0,218;-;34;156;129;2308;111;126;0,86;14,79;29,45;0;59;United States;Northern America;"IEEE Computer Society";"1998, 2000, 2002, 2012, 2014, 2016, 2018, 2020, 2022, 2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Energy Engineering and Power Technology; Fuel Technology; Signal Processing";"Computer Science; Energy; Engineering"
155;21100218013;"IEEE International Symposium on Broadband Multimedia Systems and Broadcasting, BMSB";conference and proceedings;"21555052, 21555044";"IEEE Computer Society";No;No;0,215;-;22;128;500;2078;376;494;0,75;16,23;34,53;0;16;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Human-Computer Interaction; Media Technology";"Computer Science; Engineering"
156;21100313909;"Iranian Conference on Machine Vision and Image Processing, MVIP";conference and proceedings;"21666776, 21666784";"IEEE Computer Society";No;No;0,214;-;16;43;49;968;63;48;1,29;22,51;29,59;0;4;United States;Northern America;"IEEE Computer Society";"2013, 2016-2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Vision and Pattern Recognition; Software";"Computer Science"
157;21101151802;"International Computer Music Conference, ICMC Proceedings";conference and proceedings;"22233881";"";No;No;0,213;-;41;63;74;731;15;71;0,20;11,60;17,71;0;4;United States;Northern America;"";"1993, 1995-2004, 2011, 2022-2024";"Computer Science Applications; Media Technology; Music";"Arts and Humanities; Computer Science; Engineering"
158;21100415037;"Proceedings of the Annual Precise Time and Time Interval Systems and Applications Meeting, PTTI";conference and proceedings;"23332085";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,213;-;10;55;94;302;23;91;0,40;5,49;11,79;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014, 2016-2024";"Chemical Health and Safety; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Mechanical Engineering; Safety Research; Safety, Risk, Reliability and Quality";"Chemical Engineering; Computer Science; Engineering; Social Sciences"
159;21101186246;"IN4PL - Proceedings of the International Conference on Innovative Intelligent Industrial Production and Logistics";conference and proceedings;"21849285";"Science and Technology Publications, Lda";No;No;0,212;-;6;0;60;0;58;57;0,88;0,00;0,00;0;0;Portugal;Western Europe;"Science and Technology Publications, Lda";"2020-2022";"Artificial Intelligence; Computational Theory and Mathematics; Information Systems";"Computer Science"
160;21100248833;"International Symposium on Medical Information and Communication Technology, ISMICT";conference and proceedings;"23268301, 2326828X";"IEEE Computer Society";No;No;0,211;-;18;21;85;362;67;80;1,00;17,24;24,39;0;5;United States;Northern America;"IEEE Computer Society";"2013-2024";"Computer Networks and Communications; Health Informatics; Health Information Management; Information Systems";"Computer Science; Health Professions; Medicine"
161;16719;"Proceedings - Frontiers in Education Conference, FIE";conference and proceedings;"15394565";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,211;-;49;0;1295;0;1048;1291;0,71;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976, 1978-1989, 1991-2013, 2015-2023";"Computer Science Applications; Education; Software";"Computer Science; Social Sciences"
162;21101075992;"Proceedings of the International Conference on Education and Research in Computer Aided Architectural Design in Europe";conference and proceedings;"26841843";"Education and research in Computer Aided Architectural Design in Europe";No;No;0,211;-;23;148;436;2679;243;425;0,57;18,10;35,41;0;72;Belgium;Western Europe;"Education and research in Computer Aided Architectural Design in Europe";"1999-2024";"Architecture; Computer Graphics and Computer-Aided Design; Education";"Computer Science; Engineering; Social Sciences"
163;21100879718;"IEEE Conference on Evolving and Adaptive Intelligent Systems";conference and proceedings;"23304863, 24734691";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,210;-;13;55;21;1503;27;19;1,29;27,33;28,98;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017, 2020, 2022, 2024";"Artificial Intelligence; Computer Science Applications";"Computer Science"
164;21100211110;"ICSE Workshop on Software Engineering for Adaptive and Self-Managing Systems";conference and proceedings;"21567891, 21572305";"IEEE Computer Society";No;No;0,209;-;25;0;25;0;50;23;2,00;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2012-2013, 2019, 2023";"Hardware and Architecture; Software";"Computer Science"
165;21100199742;"IEEE International Conference on Control and Automation, ICCA";conference and proceedings;"19483457, 19483449";"IEEE Computer Society";No;No;0,209;-;29;166;249;3468;195;247;0,78;20,89;29,31;0;14;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Industrial and Manufacturing Engineering";"Computer Science; Engineering"
166;19700180519;"Proceedings - International Workshop on Content-Based Multimedia Indexing";conference and proceedings;"19493991";"IEEE Computer Society";No;No;0,209;-;22;60;46;1729;54;44;0,00;28,82;22,57;0;3;United States;Northern America;"IEEE Computer Society";"2010-2016, 2018-2019, 2021, 2024";"Computer Graphics and Computer-Aided Design; Information Systems";"Computer Science"
167;26665;"Canadian Conference on Electrical and Computer Engineering";conference and proceedings;"08407789";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,208;-;51;202;274;3433;263;269;0,95;17,00;23,19;0;58;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1993-2011, 2013-2018, 2020-2024";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
168;21101189051;"Proceedings of the International Conference on Security and Cryptography";conference and proceedings;"21847711";"Science and Technology Publications, Lda";No;No;0,207;-;5;96;183;2287;139;180;0,77;23,82;21,89;0;12;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Information Systems; Software";"Computer Science"
169;21100199740;"International Conference Image and Vision Computing New Zealand";conference and proceedings;"21512205, 21512191";"IEEE Computer Society";No;No;0,206;-;21;54;89;1187;86;85;0,73;21,98;25,93;0;13;United States;Northern America;"IEEE Computer Society";"2010, 2013, 2016-2021, 2023-2024";"Computational Theory and Mathematics; Computer Vision and Pattern Recognition; Electrical and Electronic Engineering";"Computer Science; Engineering"
170;145120;"Proceedings - Symposium on Computer Architecture and High Performance Computing";conference and proceedings;"15506533";"IEEE Computer Society";No;No;0,206;-;24;24;135;878;88;113;0,56;36,58;21,65;0;3;United States;Northern America;"IEEE Computer Society";"1998, 2002-2009, 2011-2014, 2016, 2019-2024";"Engineering (miscellaneous); Hardware and Architecture; Software";"Computer Science; Engineering"
171;17317;"Conference Proceedings - IEEE SOUTHEASTCON";conference and proceedings;"1558058X, 10910050";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,205;-;41;268;420;5589;422;414;1,05;20,85;19,80;0;64;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982-1984, 1986-2024";"Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Signal Processing; Software";"Computer Science; Engineering"
172;21100814501;"Proceedings of the European Conference on Synthetic Aperture Radar, EUSAR";conference and proceedings;"21974403";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,205;-;26;270;432;3336;207;428;0,64;12,36;22,34;0;23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2008, 2010, 2012, 2014, 2016, 2018, 2021-2022, 2024";"Control and Systems Engineering; Instrumentation; Signal Processing";"Computer Science; Engineering; Physics and Astronomy"
173;21100305223;"Conference of Open Innovation Association, FRUCT";conference and proceedings;"23057254";"IEEE Computer Society";Yes;No;0,204;-;25;174;315;4875;316;301;1,02;28,02;30,04;0;57;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computer Science (miscellaneous); Electrical and Electronic Engineering";"Computer Science; Engineering"
174;21100291862;"Conference on Control and Fault-Tolerant Systems, SysTol";conference and proceedings;"21621195, 21621209";"IEEE Computer Society";No;No;0,204;-;19;0;62;0;53;60;0,00;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2013, 2016, 2019, 2021";"Computer Science Applications; Control and Systems Engineering; Hardware and Architecture; Software";"Computer Science; Engineering"
175;21101107938;"International Conference on Computer Supported Education, CSEDU - Proceedings";conference and proceedings;"21845026";"Science and Technology Publications, Lda";No;No;0,204;-;10;161;376;4348;283;368;0,79;27,01;38,64;0;43;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Information Systems";"Computer Science"
176;14953;"Proceedings of the IEEE International Conference on VLSI Design";conference and proceedings;"10639667";"IEEE Computer Society";No;No;0,201;-;45;125;141;2485;162;128;1,04;19,88;21,21;0;17;United States;Northern America;"IEEE Computer Society";"1991-1992, 1994-2001, 2003-2007, 2010-2016, 2018, 2021, 2023-2024";"Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
177;69957;"Proceedings of the International Conference on Parallel and Distributed Systems - ICPADS";conference and proceedings;"15219097";"";No;No;0,201;-;46;97;646;2739;344;637;0,44;28,24;33,33;0;18;United States;Northern America;"";"1996-1998, 2001-2002, 2004-2021, 2023-2024";"Hardware and Architecture";"Computer Science"
178;21100797240;"ASEE Annual Conference and Exposition, Conference Proceedings";conference and proceedings;"21535965";"American Society for Engineering Education";No;No;0,200;-;43;2162;5640;48392;2390;5637;0,42;22,38;48,70;0;769;United States;Northern America;"American Society for Engineering Education";"2005-2024";"Artificial Intelligence; Computational Theory and Mathematics; Engineering (miscellaneous); Information Systems; Software";"Computer Science; Engineering"
179;21101210850;"Proceedings of the International Conference on Computer-Aided Architectural Design Research in Asia";conference and proceedings;"27104265, 27104257";"The Association for Computer-Aided Architectural Design Research in Asia";No;No;0,200;-;5;166;217;2512;136;213;0,63;15,13;36,92;0;67;Hong Kong;Asiatic Region;"The Association for Computer-Aided Architectural Design Research in Asia";"2022-2024";"Architecture; Building and Construction; Computer Graphics and Computer-Aided Design; Materials Science (miscellaneous); Modeling and Simulation";"Computer Science; Engineering; Materials Science; Mathematics"
180;25516;"Proceedings - Graphics Interface";conference and proceedings;"07135424";"Canadian Information Processing Society";No;No;0,199;-;57;0;67;0;54;63;0,86;0,00;0,00;0;0;Canada;Northern America;"Canadian Information Processing Society";"1983-1987, 1989-1998, 2001-2022";"Computer Graphics and Computer-Aided Design";"Computer Science"
181;21100216911;"International Conference Recent Advances in Natural Language Processing, RANLP";conference and proceedings;"13138502";"Association for Computational Linguistics (ACL)";No;No;0,197;-;39;0;369;0;472;361;0,95;0,00;0,00;0;0;United States;Northern America;"Association for Computational Linguistics (ACL)";"2005-2009, 2011, 2013, 2015, 2017, 2019, 2021, 2023";"Artificial Intelligence; Computer Science Applications; Electrical and Electronic Engineering; Software";"Computer Science; Engineering"
182;145296;"Proceedings - Asia-Pacific Software Engineering Conference, APSEC";conference and proceedings;"15301362";"IEEE Computer Society";No;No;0,197;-;41;0;263;0;208;255;0,73;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"1994, 1996, 2000, 2002-2023";"Engineering (miscellaneous); Software";"Computer Science; Engineering"
183;21100948914;"EPiC Series in Computing";conference and proceedings;"23987340";"EasyChair";No;No;0,196;-;16;129;352;3000;211;331;0,70;23,26;25,95;0;16;United Kingdom;Western Europe;"EasyChair";"2018-2025";"Computer Science (miscellaneous)";"Computer Science"
184;21101107935;"International Conference on Enterprise Information Systems, ICEIS - Proceedings";conference and proceedings;"21844992";"Science and Technology Publications, Lda";No;No;0,196;-;10;188;488;5188;355;480;0,71;27,60;25,05;0;33;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
185;21100239654;"Brazilian Symposium on Computing System Engineering, SBESC";conference and proceedings;"23247886, 23247894";"IEEE Computer Society";No;No;0,194;-;11;33;79;699;58;73;0,81;21,18;8,43;0;15;United States;Northern America;"IEEE Computer Society";"2012-2024";"Computer Networks and Communications; Software";"Computer Science"
186;21100802691;"Proceedings of the International ISCRAM Conference";conference and proceedings;"24113387";"Information Systems for Crisis Response and Management, ISCRAM";No;No;0,194;-;21;91;282;2927;169;277;0,58;32,16;34,13;0;34;Belgium;Western Europe;"Information Systems for Crisis Response and Management, ISCRAM";"2010-2011, 2013-2014, 2016-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Hardware and Architecture; Information Systems; Information Systems and Management; Signal Processing";"Computer Science; Decision Sciences; Engineering"
187;21100197335;"IEEE Workshop on Local and Metropolitan Area Networks";conference and proceedings;"19440375, 19440367";"IEEE Computer Society";No;No;0,193;-;20;24;56;355;38;47;0,71;14,79;18,33;0;4;United States;Northern America;"IEEE Computer Society";"1993, 1999, 2011, 2013, 2015-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology; Software";"Computer Science; Engineering"
188;21100297817;"International Symposium on Image and Signal Processing and Analysis, ISPA";conference and proceedings;"18455921, 18492266";"IEEE Computer Society";No;No;0,192;-;25;0;94;0;71;90;0,53;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2000-2001, 2003, 2013, 2017, 2019, 2021, 2023";"Computational Theory and Mathematics; Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Signal Processing";"Computer Science"
189;11600154611;"ACM International Conference Proceeding Series";conference and proceedings;"-";"Association for Computing Machinery";No;No;0,191;-;164;0;24427;0;20381;23324;1,14;0,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1993, 1996-1997, 1999-2023";"Artificial Intelligence; Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";"Computer Science"
190;21100317406;"Advances in Knowledge Organization";conference and proceedings;"09385495";"Nomos Verlagsgesellschaft mbH und Co KG";No;No;0,191;-;10;47;44;712;14;40;0,32;15,15;43,14;0;8;Germany;Western Europe;"Nomos Verlagsgesellschaft mbH und Co KG";"2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020, 2022, 2024";"Computer Science Applications; Information Systems; Information Systems and Management";"Computer Science; Decision Sciences"
191;21101047185;"IEEE Advanced Information Technology, Electronic and Automation Control Conference (IAEAC)";conference and proceedings;"26896621";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,190;-;13;366;799;4769;589;796;0,56;13,03;34,14;0;73;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2021-2022, 2024";"Applied Mathematics; Artificial Intelligence; Computer Networks and Communications; Computer Science Applications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Electrical and Electronic Engineering; Information Systems";"Computer Science; Engineering; Mathematics"
192;21101194368;"International Conference on Agents and Artificial Intelligence";conference and proceedings;"2184433X, 21843589";"Science and Technology Publications, Lda";No;No;0,190;-;7;282;479;7119;302;471;0,63;25,24;26,38;0;33;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Artificial Intelligence";"Computer Science"
193;21100198435;"Proceedings of Technical Papers - International Microsystems, Packaging, Assembly, and Circuits Technology Conference, IMPACT";conference and proceedings;"21505942, 21505934";"IEEE Computer Society";No;No;0,190;-;13;104;218;738;66;200;0,30;7,10;25,14;0;11;United States;Northern America;"IEEE Computer Society";"2011-2013, 2016-2024";"Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture";"Computer Science; Engineering"
194;25533;"Proceedings of the Information Visualization Conference";conference and proceedings;"10939547";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,190;-;47;59;195;1420;170;189;0,88;24,07;31,13;0;10;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1995-1997, 1999-2016, 2019-2024";"Computer Vision and Pattern Recognition; Signal Processing; Software";"Computer Science"
195;21100903487;"Proceedings - International Conference on Computational Intelligence and Networks";conference and proceedings;"23755822";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,189;-;7;0;33;0;42;29;1,27;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016, 2022";"Artificial Intelligence; Computer Networks and Communications";"Computer Science"
196;21100198533;"Proceedings of IEEE/ACS International Conference on Computer Systems and Applications, AICCSA";conference and proceedings;"21615330, 21615322";"IEEE Computer Society";No;No;0,188;-;31;0;253;0;184;244;0,65;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2001, 2011, 2013-2023";"Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering; Hardware and Architecture; Signal Processing";"Computer Science; Engineering"
197;21100274216;"Proceedings of the IEEE International Conference on Software Engineering and Service Sciences, ICSESS";conference and proceedings;"23270586, 23270594";"IEEE Computer Society";No;No;0,188;-;33;36;199;576;148;193;0,66;16,00;30,43;0;5;United States;Northern America;"IEEE Computer Society";"2013-2024";"Software";"Computer Science"
198;21100800099;"International Conference on Virtual Rehabilitation, ICVR";conference and proceedings;"23319569";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,187;-;13;0;132;0;122;128;0,67;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015, 2017, 2019, 2021-2022";"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Tourism, Leisure and Hospitality Management";"Business, Management and Accounting; Computer Science; Engineering"
199;21101198489;"Proceedings - International Conference on Advanced Computer Information Technologies, ACIT";conference and proceedings;"27705218, 27705226";"Institute of Electrical and Electronics Engineers";No;No;0,187;-;15;176;443;3687;406;433;0,83;20,95;36,84;0;56;United States;Northern America;"Institute of Electrical and Electronics Engineers";"2019-2024";"Artificial Intelligence; Computational Mathematics; Computer Networks and Communications; Computer Science Applications; Information Systems; Information Systems and Management; Modeling and Simulation";"Computer Science; Decision Sciences; Mathematics"
200;20300195011;"International Conference on Systems, Signals, and Image Processing";conference and proceedings;"21578702, 21578672";"IEEE Computer Society";No;No;0,186;-;23;21;151;481;115;147;0,76;22,90;20,69;0;3;United States;Northern America;"IEEE Computer Society";"2011, 2013-2014, 2016-2020, 2022-2024";"Artificial Intelligence; Computer Networks and Communications; Signal Processing; Software";"Computer Science"
201;21101111525;"International Conference on Harbour, Maritime and Multimodal Logistics Modelling and Simulation";conference and proceedings;"27240339";"I3M Conference";No;No;0,185;-;4;14;33;246;14;30;0,38;17,57;40,43;0;6;Spain;Western Europe;"I3M Conference";"2019-2024";"Business and International Management; Computer Science Applications; Management Science and Operations Research; Strategy and Management; Transportation";"Business, Management and Accounting; Computer Science; Decision Sciences; Social Sciences"
202;21101185816;"International Conference on Information Systems Security and Privacy";conference and proceedings;"21844356";"Science and Technology Publications, Lda";No;No;0,185;-;5;98;248;2761;195;245;1,12;28,17;22,74;0;5;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Computer Science (miscellaneous); Information Systems";"Computer Science"
203;21100885073;"Proceedings of International Conference on Communications, Electromagnetic and Medical Applications, CEMA";conference and proceedings;"13142100";"Technical University of Sofia,Faculty of Telecommunication Technologies";No;No;0,185;-;2;18;38;229;8;33;0,29;12,72;41,38;0;6;Bulgaria;Eastern Europe;"Technical University of Sofia,Faculty of Telecommunication Technologies";"2018-2019, 2021-2023";"Computer Networks and Communications; Computer Science Applications; Health Informatics; Medicine (miscellaneous); Radiology, Nuclear Medicine and Imaging; Signal Processing";"Computer Science; Medicine"
204;21100197515;"International Conference on Control, Automation and Systems";conference and proceedings;"15987833";"IEEE Computer Society";No;No;0,183;-;28;292;932;3563;572;929;0,52;12,20;23,51;0;54;United States;Northern America;"IEEE Computer Society";"2011-2014, 2016-2024";"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Electrical and Electronic Engineering";"Computer Science; Engineering"
205;21100803360;"Proceedings of the Annual Conference of the Prognostics and Health Management Society, PHM";conference and proceedings;"23250178";"Prognostics and Health Management Society";No;No;0,182;-;19;70;150;1594;104;148;0,64;22,77;16,03;0;12;United States;Northern America;"Prognostics and Health Management Society";"2015-2024";"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Health Information Management; Information Systems";"Computer Science; Engineering; Health Professions"
206;21101107942;"International Conference on Internet of Things, Big Data and Security, IoTBDS - Proceedings";conference and proceedings;"21844976";"Science and Technology Publications, Lda";No;No;0,181;-;6;39;105;984;77;101;0,74;25,23;18,97;0;11;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Software";"Computer Science"
207;21101194374;"Proceedings of the International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications";conference and proceedings;"21845921, 21844321";"Science and Technology Publications, Lda";No;No;0,181;-;8;332;599;9676;394;584;0,67;29,14;20,90;0;32;Portugal;Western Europe;"Science and Technology Publications, Lda";"2019-2024";"Computer Graphics and Computer-Aided Design; Computer Vision and Pattern Recognition; Human-Computer Interaction";"Computer Science"
208;20600195633;"International Conference on Advanced Technologies for Communications";conference and proceedings;"21621020, 21621039";"IEEE Computer Society";No;No;0,180;-;22;0;245;0;191;233;0,59;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2011-2013, 2015-2023";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
209;31517;"IEEE Region 10 Annual International Conference, Proceedings/TENCON";conference and proceedings;"21593450, 21593442";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,177;-;49;0;675;0;532;668;0,67;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1991-1993, 1995-1997, 1999-2000, 2002-2013, 2015-2023";"Computer Science Applications; Electrical and Electronic Engineering";"Computer Science; Engineering"
210;21101107947;"International Conference on Information and Communication Technologies for Ageing Well and e-Health, ICT4AWE - Proceedings";conference and proceedings;"21844984";"Science and Technology Publications, Lda";No;No;0,177;-;6;34;99;924;77;95;0,90;27,18;39,17;0;12;Portugal;Western Europe;"Science and Technology Publications, Lda";"2021-2024";"Computer Networks and Communications; Computer Science Applications; Health Informatics";"Computer Science; Medicine"
211;19900193965;"International Symposium on Advanced Networks and Telecommunication Systems, ANTS";conference and proceedings;"21531684";"IEEE Computer Society";No;No;0,177;-;16;0;317;0;157;306;0,45;0,00;0,00;0;0;United States;Northern America;"IEEE Computer Society";"2010-2011, 2016, 2018-2023";"Computer Networks and Communications; Media Technology";"Computer Science; Engineering"
212;21100307487;"Proceedings of the European Conference on e-Learning, ECEL";conference and proceedings;"20488637, 20488645";"Academic Conferences and Publishing International Limited";No;No;0,177;-;13;69;201;1580;125;195;0,67;22,90;49,67;0;36;United Kingdom;Western Europe;"Academic Conferences and Publishing International Limited";"2011, 2013-2024";"Computer Science (miscellaneous); Education; E-learning";"Computer Science; Social Sciences"
