Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
28;81474;"Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems";conference and proceedings;"10556338";"Association for Computing Machinery";No;No;0,740;-;90;6;105;84;177;101;1,76;14,00;0,00;0;0;United States;Northern America;"Association for Computing Machinery";"1982, 1984, 1986, 1988, 1990-1995, 1998-2024";"Hardware and Architecture; Information Systems; Software";"Computer Science"
29;26104;"Proceedings - International Conference on Distributed Computing Systems";conference and proceedings;"25758411, 10636927";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,728;-;104;154;405;5160;1102;398;2,17;33,51;26,22;0;15;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1982, 1984, 1986-2024";"Computer Networks and Communications; Hardware and Architecture; Software";"Computer Science"
30;66854;"IEEE International Conference on Intelligent Robots and Systems";conference and proceedings;"21530858";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,681;-;160;1584;3353;49711;9573;3348;2,37;31,38;19,48;0;171;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1988-1990, 1992-2003, 2006-2007, 2011-2024";"Computer Science Applications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Software";"Computer Science; Engineering"
31;110544;"Proceedings - ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing";conference and proceedings;"07367791";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,668;-;199;1697;6291;41185;22031;6285;3,40;24,27;26,93;0;57;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1976-1977, 1981-2024";"Electrical and Electronic Engineering; Signal Processing; Software";"Computer Science; Engineering"
32;33201;"Conference Record - International Conference on Communications";conference and proceedings;"05361486";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,638;-;134;938;2818;16907;5731;2807;1,90;18,02;26,73;0;134;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1969, 1979-1987, 1989-2024";"Computer Networks and Communications; Electrical and Electronic Engineering; Media Technology";"Computer Science; Engineering"
33;95165;"Proceedings of the IEEE Workshop on Computers in Power Electronics, COMPEL";conference and proceedings;"10935142";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,634;-;23;0;87;0;135;86;1,55;0,00;0,00;0;0;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2022";"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Engineering (miscellaneous); Software";"Computer Science; Engineering; Materials Science"
34;110567;"IEEE International Symposium on Information Theory - Proceedings";conference and proceedings;"21578095";"Institute of Electrical and Electronics Engineers Inc.";No;No;0,630;-;104;624;1608;16033;1897;1605;1,20;25,69;23,78;0;6;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"1972, 1991, 1994-1995, 1997-2024";"Applied Mathematics; Information Systems; Modeling and Simulation; Theoretical Computer Science";"Computer Science; Mathematics"
35;21100236214;"ACM/IEEE International Conference on Human-Robot Interaction";conference and proceedings;"21672148";"IEEE Computer Society";No;No;0,618;-;82;414;738;12802;2077;726;2,80;30,92;41,27;2;60;United States;Northern America;"IEEE Computer Society";"2013-2024";"Artificial Intelligence; Electrical and Electronic Engineering; Human-Computer Interaction";"Computer Science; Engineering"
36;21100244929;"Leibniz International Proceedings in Informatics, LIPIcs";conference and proceedings;"18688969";"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";Yes;No;0,616;-;52;1687;4378;52415;4159;4167;0,91;31,07;18,61;0;33;Germany;Western Europe;"Schloss Dagstuhl- Leibniz-Zentrum fur Informatik GmbH, Dagstuhl Publishing";"2008-2025";"Logic; Software";"Computer Science; Mathematics"
37;21101222661;"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining";conference and proceedings;"2154817X";"Association for Computing Machinery";No;No;0,602;-;204;636;565;31650;2576;562;4,56;49,76;27,35;0;62;United States;Northern America;"Association for Computing Machinery";"2002-2003, 2005-2015, 2023-2024";"Information Systems; Software";"Computer Science"
